event,team_num,fsm
2026casnd,10392,26.53
2026casnd,3965,26.49
2026casnd,2543,57.83
2026casnd,4738,59.52
2026casnd,2658,25.17
2026casnd,6515,31.77
2026casnd,8870,10.58
2026casnd,10625,48.87
2026casnd,4160,45.04
2026casnd,10586,37.27
2026casnd,3341,9.06
2026casnd,2485,100.99
2026casnd,11459,29.98
2026casnd,1622,12.63
2026casnd,9730,40.06
2026casnd,3749,4.31
2026casnd,5025,54
2026casnd,8006,16.16
2026casnd,6885,21.17
2026casnd,4919,6.28
2026casnd,9615,37.89
2026casnd,2827,5.87
2026casnd,8891,15.63
2026casnd,4984,8.47
2026casnd,1972,11.77
2026casnd,3704,1.36
2026casnd,9573,7.02
2026casnd,2839,23.69
2026casnd,6695,25.62
2026casnf,1323,342.97
2026casnf,5940,141.19
2026casnf,840,74.13
2026casnf,7667,71.82
2026casnf,8033,90.36
2026casnf,5104,105.72
2026casnf,3970,82.09
2026casnf,2551,80.74
2026casnf,5507,69.82
2026casnf,5171,51.62
2026casnf,6506,24.25
2026casnf,841,56.2
2026casnf,114,77.68
2026casnf,5700,22.04
2026casnf,253,64.35
2026casnf,10281,24.34
2026casnf,10615,50.01
2026casnf,11243,30.33
2026casnf,4765,16.49
2026casnf,2035,22.36
2026casnf,649,45.88
2026casnf,9114,30.14
2026casnf,1280,27.03
2026casnf,8840,22.12
2026casnf,4973,20.83
2026casnf,4159,36.22
2026casnf,8016,17.89
2026casnf,8852,35.2
2026casnf,10221,44.38
2026casnf,4904,20.55
2026casnf,4186,21.06
2026casnf,11463,3.88
2026casnf,8045,3.27
2026casnf,7245,47.74
2026casnf,6918,14.85
2026casnf,4669,3.36
2026casnf,8751,21.27
2026casnf,11230,9.24
2026casnv,254,354.94
2026casnv,9470,223.17
2026casnv,581,178.47
2026casnv,972,172.24
2026casnv,3256,187
2026casnv,5026,124.94
2026casnv,2813,154.17
2026casnv,6814,5.56
2026casnv,6238,128.99
2026casnv,6962,66.29
2026casnv,115,61.3
2026casnv,2643,11.67
2026casnv,4990,30.65
2026casnv,100,56.62
2026casnv,1351,48.39
2026casnv,6418,38.23
2026casnv,5419,29.16
2026casnv,1868,109
2026casnv,2854,66.4
2026casnv,1700,14.35
2026casnv,6059,96.14
2026casnv,1671,16.2
2026casnv,5499,46.36
